state,district,month,enrolment_total,demo_updates_total,bio_updates_total,month_dt,total_updates,total_transactions,enroll_velocity,growth_acceleration,update_churn,center_load_density,enroll_velocity_norm,total_updates_norm,growth_acceleration_norm,center_load_density_norm,update_churn_norm,ASSI_raw,ASSI,StressCategory,high_stress,HighStressNextMonth,risk_probability_before
Maharashtra,Ahilyanagar,2025-05,0.0,0.0,22.0,2025-05-01,22.0,22.0,0.0,0.0,0.0,22.0,0.5170112752761873,0.00015661149670759923,0.700712835607737,8.865884498634232e-05,0.0,0.2694478376415191,26.94,🟢 Stable,0,0.0,0.010456537186334821
Maharashtra,Ahilyanagar,2025-06,0.0,0.0,102.0,2025-06-01,102.0,102.0,0.0,0.0,4.434782608695652,102.0,0.5170112752761873,0.0007261078483715963,0.700712835607737,0.00042640682588669394,0.0004870889589985706,0.2697139372704199,26.97,🟢 Stable,0,0.0,0.0040294073166691185
Maharashtra,Ahilyanagar,2025-07,0.0,0.0,131.0,2025-07-01,131.0,131.0,0.0,0.0,1.2718446601941749,131.0,0.5170112752761873,0.0009325502758497954,0.700712835607737,0.0005488404689630714,0.00013969151279865727,0.26973180330682095,26.97,🟢 Stable,0,0.0,0.006437437311513408
Maharashtra,Ahilyanagar,2025-08,0.0,0.0,149.0,2025-08-01,149.0,149.0,0.0,0.0,1.128787878787879,149.0,0.5170112752761873,0.0010606869549741947,0.700712835607737,0.0006248337646656506,0.000123979045045165,0.2697728796007944,26.98,🟢 Stable,0,0.0,0.006437437311513408
Maharashtra,Ahilyanagar,2025-09,0.0,0.0,196.0,2025-09-01,196.0,196.0,0.0,0.0,1.3066666666666666,196.0,0.5170112752761873,0.001395266061576793,0.700712835607737,0.0008232607034446072,0.00014351614556637623,0.26988921898334006,26.99,🟢 Stable,0,0.0,0.005784233769141502
Maharashtra,Ahilyanagar,2025-10,6.0,0.0,184.0,2025-10-01,184.0,190.0,6.0,6.0,0.934010152284264,190.0,0.5170423366430945,0.0013098416088271935,0.700737745413482,0.0007979296048770808,0.00010258587013446556,0.26987067096692857,26.99,🟢 Stable,0,0.0,0.029943098606805208
Maharashtra,Ahilyanagar,2025-11,208.0,0.0,347.0,2025-11-01,347.0,555.0,202.0,196.0,1.8756756756756756,555.0,0.5180570079620637,0.0024701904253425877,0.7015265559287414,0.0023389047677349352,0.00020601255865223061,0.2708188483815579,27.08,🟢 Stable,0,0.0,0.005784233769141502
Maharashtra,Ahilyanagar,2025-12,3495.0,12.0,2460.0,2025-12-01,2472.0,5967.0,3287.0,3085.0,7.103448275862069,5967.0,0.5340277274468591,0.01759743726641751,0.713520627394974,0.025187555675643725,0.0007801986097820242,0.28450557980012786,28.45,🟢 Stable,0,0.0,0.003486765506659401
Maharashtra,Ahilyanagar,2026-01,329.0,12.0,12.0,2026-01-01,24.0,353.0,-3166.0,-6453.0,0.009704811969268095,353.0,0.5006212273381444,0.00017084890549919914,0.6739223395289556,0.0014860911159615474,1.0659162300580027e-06,0.26020556052153077,26.02,🟢 Stable,0,,0.11876184598901862
Maharashtra,Ahmadnagar,2025-03,26263.0,0.0,33620.0,2025-03-01,33620.0,59883.0,0.0,0.0,0.0,59883.0,0.5170112752761873,0.23933084178679478,0.700712835607737,0.25281280740343576,0.0,0.36715001749780823,36.72,🟡 Watchlist,0,0.0,0.04322041448473534
